cohort	strategy	contrast	gene	recovered	log2FC	padj
14-sample	R2	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
14-sample	R2	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
14-sample	R3	gBMF_vs_Ctrl	HCG11	TRUE	9.485245182731754	1.3865383849078565e-4
14-sample	R3	gBMF_vs_Ctrl	HCP5	TRUE	9.071503134304306	1.1821421431809906e-6
14-sample	R3	gBMF_vs_Ctrl	SNHG32	TRUE	9.649611180486087	1.1926926187138551e-4
14-sample	R3	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.425116458934824	1.2431623339595931e-5
14-sample	R3	gBMF_vs_Ctrl	FAM30A	TRUE	5.463473460569432	0.0015718398900352937
14-sample	R3	gBMF_vs_Ctrl	MIR22HG	TRUE	9.889374385261963	5.49457532000133e-5
14-sample	R3	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3353874218298496	0.02855582768423075
14-sample	R3	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.5968094724601207	0.0023242381071710548
14-sample	R3	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.362855853249658	3.7453318492684757e-4
14-sample	R3	gBMF_vs_Ctrl	LINC01036	TRUE	3.2496781331421025	0.0015203742867440193
14-sample	R3	gBMF_vs_Ctrl	MALAT1	TRUE	-6.5620063123363535	1.831071185061117e-5
14-sample	R3	uBMF_vs_Ctrl	HCG11	TRUE	8.78983406234668	2.7108443836281875e-4
14-sample	R3	uBMF_vs_Ctrl	HCP5	TRUE	8.726720344158466	4.543411808700824e-7
14-sample	R3	uBMF_vs_Ctrl	SNHG32	TRUE	9.250615738708408	1.1726255294967837e-4
14-sample	R3	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.6181853969913	2.1366446145160903e-5
14-sample	R3	uBMF_vs_Ctrl	FAM30A	TRUE	5.066492285003028	0.0016512408967917728
14-sample	R3	uBMF_vs_Ctrl	MIR22HG	TRUE	10.08442041577009	1.1619135104428686e-5
14-sample	R3	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1806887330513542	0.03409353821832319
14-sample	R3	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.241409299527187	0.005749580666338632
14-sample	R3	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.4982567454912052	0.0027529716070648896
14-sample	R3	uBMF_vs_Ctrl	LINC01036	TRUE	2.777391633967962	0.0042770266785680045
14-sample	R3	uBMF_vs_Ctrl	MALAT1	TRUE	-4.106902287905603	0.006926897325789773
14-sample	R3	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_Ctrl	HCG11	TRUE	9.489399172620429	1.1329634110583162e-4
17-sample	ORIG	gBMF_vs_Ctrl	HCP5	TRUE	9.076511836166485	1.681318349645912e-6
17-sample	ORIG	gBMF_vs_Ctrl	SNHG32	TRUE	9.633046698206497	5.188521471223911e-4
17-sample	ORIG	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.430240791682897	1.8390139186529985e-4
17-sample	ORIG	gBMF_vs_Ctrl	FAM30A	TRUE	5.480356071169594	4.5671323011743116e-4
17-sample	ORIG	gBMF_vs_Ctrl	MIR22HG	TRUE	9.924555253451121	7.338063421854004e-4
17-sample	ORIG	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3411727229131643	0.015969136218361758
17-sample	ORIG	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6037331774897603	8.129265651437372e-4
17-sample	ORIG	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.368250856926399	1.0460909576841222e-4
17-sample	ORIG	gBMF_vs_Ctrl	LINC01036	TRUE	3.2591503638898254	0.0022287097131921813
17-sample	ORIG	gBMF_vs_Ctrl	MALAT1	TRUE	-6.555246742623981	0.0013362975423988283
17-sample	ORIG	uBMF_vs_Ctrl	HCG11	TRUE	8.79116947220912	1.7225231259609903e-4
17-sample	ORIG	uBMF_vs_Ctrl	HCP5	TRUE	8.725648148577406	5.372577739546909e-7
17-sample	ORIG	uBMF_vs_Ctrl	SNHG32	TRUE	9.229419778675313	4.04157845452645e-4
17-sample	ORIG	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.620646236397388	2.1590831883079586e-4
17-sample	ORIG	uBMF_vs_Ctrl	FAM30A	TRUE	5.070900164696743	3.7917738601186615e-4
17-sample	ORIG	uBMF_vs_Ctrl	MIR22HG	TRUE	10.116618284948489	1.915471685619324e-4
17-sample	ORIG	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1807918673018896	0.014519943827905842
17-sample	ORIG	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.242297499758547	0.0017715621158357743
