gene_group	gene_symbol	gene_id	gene_type	contrast	A_baseMean	A_log2FC	A_padj	A_sig	C_baseMean	C_log2FC	C_padj	C_sig
RT-qPCR validated 3 (key biomarkers)	ATP1A1-AS1	ENSG00000203865.13	lncRNA	U-AA_vs_Control	107.3	-0.08	0.965	FALSE	112.8	-0.08	0.964	FALSE
RT-qPCR validated 3 (key biomarkers)	ATP1A1-AS1	ENSG00000203865.13	lncRNA	G-AA_vs_U-AA	107.3	0.3	0.877	FALSE	112.8	0.3	0.942	FALSE
RT-qPCR validated 3 (key biomarkers)	USP3-AS1	ENSG00000259248.7	lncRNA	G-AA_vs_Control	132.3	0.16	0.936	FALSE	124.7	0.16	0.937	FALSE
RT-qPCR validated 3 (key biomarkers)	USP3-AS1	ENSG00000259248.7	lncRNA	U-AA_vs_Control	132.3	-0.11	0.972	FALSE	124.7	-0.11	0.974	FALSE
RT-qPCR validated 3 (key biomarkers)	USP3-AS1	ENSG00000259248.7	lncRNA	G-AA_vs_U-AA	132.3	0.27	0.953	FALSE	124.7	0.27	0.958	FALSE
RT-qPCR validated 3 (key biomarkers)	SNHG32	ENSG00000204387.14	lncRNA	G-AA_vs_Control	299.3	9.75	9.31e-5	TRUE	336.7	9.76	2.98e-5	TRUE
RT-qPCR validated 3 (key biomarkers)	SNHG32	ENSG00000204387.14	lncRNA	U-AA_vs_Control	299.3	9.32	7.45e-5	TRUE	336.7	9.33	2.63e-5	TRUE
RT-qPCR validated 3 (key biomarkers)	SNHG32	ENSG00000204387.14	lncRNA	G-AA_vs_U-AA	299.3	0.43	0.963	FALSE	336.7	0.43	0.966	FALSE
FA-related mutations (manuscript mentions)	FANCG	ENSG00000221829.11	protein_coding	G-AA_vs_Control	372.3	-1.24	0.144	FALSE	399.6	-1.24	0.158	FALSE
FA-related mutations (manuscript mentions)	FANCG	ENSG00000221829.11	protein_coding	U-AA_vs_Control	372.3	-0.44	0.774	FALSE	399.6	-0.44	0.788	FALSE
FA-related mutations (manuscript mentions)	FANCG	ENSG00000221829.11	protein_coding	G-AA_vs_U-AA	372.3	-0.81	0.609	FALSE	399.6	-0.8	0.905	FALSE
FA-related mutations (manuscript mentions)	FANCD2	ENSG00000144554.13	protein_coding	G-AA_vs_Control	1790.5	-0.6	0.542	FALSE	2006.7	-0.6	0.522	FALSE
FA-related mutations (manuscript mentions)	FANCD2	ENSG00000144554.13	protein_coding	U-AA_vs_Control	1790.5	-0.08	0.969	FALSE	2006.7	-0.08	0.97	FALSE
FA-related mutations (manuscript mentions)	FANCD2	ENSG00000144554.13	protein_coding	G-AA_vs_U-AA	1790.5	-0.52	0.768	FALSE	2006.7	-0.52	0.942	FALSE
FA-related mutations (manuscript mentions)	FANCD1	NA	NA	G-AA_vs_Control	NA	NA	NA	NA	NA	NA	NA	NA
FA-related mutations (manuscript mentions)	FANCD1	NA	NA	U-AA_vs_Control	NA	NA	NA	NA	NA	NA	NA	NA
FA-related mutations (manuscript mentions)	FANCD1	NA	NA	G-AA_vs_U-AA	NA	NA	NA	NA	NA	NA	NA	NA
FA-related mutations (manuscript mentions)	FANCA	ENSG00000187741.16	protein_coding	G-AA_vs_Control	788.9	-2.45	0.0115	TRUE	844.9	-2.45	0.0117	TRUE
FA-related mutations (manuscript mentions)	FANCA	ENSG00000187741.16	protein_coding	U-AA_vs_Control	788.9	-1.31	0.309	FALSE	844.9	-1.3	0.316	FALSE
FA-related mutations (manuscript mentions)	FANCA	ENSG00000187741.16	protein_coding	G-AA_vs_U-AA	788.9	-1.14	0.539	FALSE	844.9	-1.14	0.823	FALSE
FA-related mutations (manuscript mentions)	TERT	ENSG00000164362.21	protein_coding	G-AA_vs_Control	38	-3.21	0.149	FALSE	40	-3.21	0.0999	FALSE
FA-related mutations (manuscript mentions)	TERT	ENSG00000164362.21	protein_coding	U-AA_vs_Control	38	-3.35	0.122	FALSE	40	-3.39	0.0582	FALSE
FA-related mutations (manuscript mentions)	TERT	ENSG00000164362.21	protein_coding	G-AA_vs_U-AA	38	0.14	0.99	FALSE	40	0.18	0.987	FALSE
